79;Willkommen!;Bienvenue!;2022-11-29;Kl. 7|Unité 1
80;die Stadt;la ville;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
81;das Kino;le cinéma;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
82;der Park;le parc;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
83;das Theater;le théâtre;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
84;das Café|der Kaffee;le café;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
85;das Restaurant;le restaurant;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
86;das Hotel;l´hôtel;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
87;das Museum;le musée;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
88;die U-Bahn|die Metro;le métro;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
89;der Turm;la tour;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
90;der Supermarkt;le supermarché;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
91;die Schule;le collège;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
92;das Stadium;le stade;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
93;Verzeihung|Entschuldigung;pardon;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
94;Wo ist ...?;Où est ...?;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
95;Wo ...?|Wohin ...?;Où ...?;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
96;das ist;c´est;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
97;da|hier;là;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
98;danke;merci;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
99;das sind;ce sont;2023-01-13;Kl. 7|Unité 1|Se présenter et présenter les autres
100;Wer ist das?;C´est qui?;2023-01-13;Kl. 7|Unité 1|Se présenter et présenter les autres
101;ich heiße...|...das bin ich;moi, c´est;2023-01-13;Kl. 7|Unité 1|Se présenter et présenter les autres
102;Wie...?;Comment...?;2023-01-13;Kl. 7|Unité 1|Se présenter et présenter les autres
103;hier ist|hier sind;voilà;2023-01-13;Kl. 7|Unité 1
104;das Mädchen;la fille;2023-01-13;Kl. 7|Unité 1|Se présenter et présenter les autres
105;der Junge;le garcon;2023-01-13;Kl. 7|Unité 1|Se présenter et présenter les autres
106;der Freund/die Freundin;l´ami/l´amie;2023-01-13;Kl. 7|Unité 1|Se présenter et présenter les autres
107;von;de;2023-01-13;Kl. Unité 1|Se présenter et présenter les autres
108;mein Freund/meine Freundin;mon ami/mon amie;2023-01-13;Kl. 7|Unité 1|Se présenter et présenter les autres
109;er/sie heißt;il/elle s´appelle;2023-01-13;Kl. 7|Unité 1|Se présenter et présenter les autres
110;mit;avec;2023-01-13;Kl. 7|Unité 1|Volet 1
111;einverstanden|okay;d´accord;2023-01-13;Kl. 7|Unité 1|Volet 1
112;Ich weiß es nicht.;Je ne sais pas.;2023-01-13;Kl. 7|Unité 1|Volet 1
113;hier;ici;2023-01-13;Kl. 7|Unité 1|Volet 1
114;seit|seitdem;depuis;2023-01-13;Kl. 7|Unité 1|Volet 1
115;Samstag|am Samstag;samedi;2023-01-13;Kl. 7|Unité 1|Volet 1
116;cool;cool;2023-01-13;Kl. 7|Unité 1|Volet 1
117;also;alors;2023-01-13;Kl. 7|Unité 1|Volet 1
118;in;dans;2023-01-13;Kl. 7|Unité 1|Volet 1
119;das Viertel;le quartier;2023-01-13;Kl. 7|Unité 1|Volet 1
120;hi;coucou;2023-01-14;Kl. 7|Unité 1|Volet 2
121;das sind wir|wir sind´s;c´est nous;2023-01-14;Kl. 7|Unité 1|Volet 2
122;das bin ich|ich bin´s;c´est moi;2023-01-14;Kl. 7|Unité 1|Volet 2
123;sein;être;2023-01-14;Kl. 7|Unité 1|Volet 2
124;aus;de;2023-01-14;Kl. 7|Unité 1|Volet 2
125;die Straße;la rue;2023-01-14;Kl. 7|Unité 1|Volet 2
126;Tunesien;la Tunisie;2023-01-14;Kl. 7|Unité 1|Volet 2
127;nett|sympathisch;sympa;2023-01-14;Kl. 7|Unité 1|Volet 2
128;in derselben Klasse;dans la même classe;2023-01-14;Kl. 7|Unité 1|Volet 2
129;auch;aussi;2023-01-14;Kl. 7|Unité 1|Volet 2
130;zusammen;ensemble;2023-01-14;Kl. 7|Unité 1|Volet 2
131;die AG|der Verein|der Klub;le club;2023-01-14;Kl. 7|Unité 1|Volet 2
132;die Drohne;le drone;2023-01-14;Kl. 7|Unité 1|Volet 2
133;die Drohnen-AG;le club de drones;2023-01-14;Kl. 7|Unité 1|Volet 2
134;die sechste Klasse;la sixième;2023-01-14;Kl. 7|Unité 1|Volet 2
135;die siebte Klasse|die Fünfte;la cinquième;2023-01-14;Kl. 7|Unité 1|Volet 2
136;Basketball|das Basketballspielen;le basket;2023-01-14;Kl. 7|Unité 1|Volet 2
137;die Serie;la série;2023-01-14;Kl. 7|Unité 1|Volet 2
138;der Tanz|das Tanzen;la danse;2023-01-14;Kl. 7|Unité 1|Volet 2
139;oft;souvent;2023-01-14;Kl. 7|Unité 1|Volet 2
140;zu spät|mit Verspätung;en retard;2023-01-14;Kl. 7|Unité 1|Volet 2
141;das ist etwas kompliziert|es ist etwas kompliziert;c´est un peu compliqué;2023-01-14;Kl. 7|Unité 1|Volet 2
142;Woher kommst du?;Tu es d´où?;2023-01-14;Kl. 7|Unité 1|Volet 2
