75;nicht wahr?|stimmts?;isn´t it?;2021-12-30;Station 2|Unit 3|Kl. 6
76;vielleicht;may;2021-12-30;Station 2|Unit 3|Kl. 6
77;schließlich|zum Schluss;in the end;2021-12-30;Station 2|Unit 3|Kl. 6
78;kein;not ... any;2021-12-30;Station 2|Unit 3|Kl. 6
79;Verkäufer|Verkäuferin;shop assistent;2021-12-30;Station 2|Unit 3|Kl. 6
80;Quittung;receipt;2021-12-30;Station 2|Unit 3|Kl. 6
81;billig;cheap;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
82;groß;large;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
83;kurz;short;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
84;teuer;expensive;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
85;klein;small;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
86;lang;long;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
87;hundert eins;a/one hundred and one;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
88;hundert zwei;a/one hundred and two;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
89;hundert zehn;a/one hundred and ten;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
90;zweihundert;two hundred;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
91;dreihundert;three hundred;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
92;vierhunderteinundfünfzig;four hundred and fifty-one;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
93;eintausend;a/one thousand;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
94;Archiv;archive;2021-12-30;Way in|Unit 3|Kl. 6
95;Blog|Internettagebuch;blog;2021-12-30;Way in|Unit 3|Kl. 6
96;alle;everyone;2021-12-30;Way in|Unit 3|Kl. 6
97;zuhause;back home;2021-12-30;Way in|Unit 3|Kl. 6
98;Polen;Poland;2021-12-30;Way in|Unit 3|Kl. 6
99;Bootsfahrt|Schiffsfahrt;boat trip;2021-12-30;Way in|Unit 3|Kl. 6
100;Sehenswürdigkeit;sight;2021-12-30;Way in|Unit 3|Kl. 6
101;Gebäude;building;2021-12-30;Way in|Unit 3|Kl. 6
102;Riesenrad;big wheel;2021-12-30;Way in|Unit 3|Kl. 6
103;bauen;build;2021-12-30;Way in|Unit 3|Kl. 6
104;Arbeiter|Arbeiterin;worker;2021-12-30;Way in|Unit 3|Kl. 6
105;Vereinigtes Königreich;UK;2021-12-30;Way in|Unit 3|Kl. 6
106;Frankreich;France;2021-12-30;Way in|Unit 3|Kl. 6
107;die Niederlande;the Netherlands;2021-12-30;Way in|Unit 3|Kl. 6
108;Tschechien;the Czech Rebuplik;2021-12-30;Way in|Unit 3|Kl. 6
109;der berühmteste;the most famous;2021-12-30;Way in|Unit 3|Kl. 6
110;Uhrenturm;clock tower;2021-12-30;Way in|Unit 3|Kl. 6
111;sich abseilen;abseil;2021-12-30;Way in|Unit 3|Kl. 6
112;Turm;tower;2021-12-30;Way in|Unit 3|Kl. 6
113;Stufe;step;2021-12-30;Way in|Unit 3|Kl. 6
114;ungefähr|circa|etwa;about;2021-12-30;Way in|Unit 3|Kl. 6
115;Gefängnis;prison;2021-12-30;Way in|Unit 3|Kl. 6
116;königlich;royal;2021-12-30;Way in|Unit 3|Kl. 6
117;Kopie;copy;2021-12-30;Way in|Unit 3|Kl. 6
118;Es wurde ... gebaut.;It was built ...;2021-12-30;Way in|Unit 3|Kl. 6
119;Schriftsteller|Schriftstellerin;writer;2021-12-30;Way in|Unit 3|Kl. 6
120;als;than;2021-12-30;Way in|Unit 3|Kl. 6
121;vor;ago;2021-12-30;Way in|Unit 3|Kl. 6
122;Rad;wheel;2021-12-30;Way in|Unit 3|Kl. 6
123;Restaurant;restaurant;2021-12-30;Way in|Unit 3|Kl. 6
124;echt;really;2021-12-30;Way in|Unit 3|Kl. 6
125;Krank|schlecht;ill;2021-12-30;Speaking skills|Unit 2|Kl. 6
126;Halsschmerzen;sore troat;2021-12-30;Speaking skills|Unit 2|Kl. 6
127;Kopfschmerzen|Kopfweh;headache;2021-12-30;Speaking skills|Unit 2|Kl. 6
128;anschauen;have a look;2021-12-30;Speaking skills|Unit 2|Kl. 6
129;weh tun|verletzen;hurt;2021-12-30;Speaking skills|Unit 2|Kl. 6
130;ein bisschen;a little;2021-12-30;Speaking skills|Unit 2|Kl. 6
131;trinken;drink;2021-12-30;Speaking skills|Unit 2|Kl. 6
132;Bein;leg;2021-12-30;Speaking skills|Unit 2|Kl. 6
133;Bauchweh|Bauchschmerzen;Stomach ache;2021-12-30;Speaking skills|Unit 2|Kl. 6
134;brechen|zerbrechen;broken;2021-12-30;Speaking skills|Unit 2|Kl. 6
135;Mund;mouth;2021-12-30;Speaking skills|Unit 2|Kl. 6
136;Magen|Bauch;stomache;2021-12-30;Speaking skills|Unit 2|Kl. 6
137;Kopf;head;2021-12-30;Speaking skills|Unit 2|Kl. 6
138;Ohr;ear;2021-12-30;Speaking skills|Unit 2|Kl. 6
139;Patient|Patientin;patient;2021-12-30;Speaking skills|Unit 2|Kl. 6
140;Tablette;tablet;2021-12-30;Speaking skills|Unit 2|Kl. 6
141;sehr;a lot;2021-12-30;Speaking skills|Unit 2|Kl. 6
142;Karte;ticket;2021-12-30;Film corner|Unit 2|Kl. 6
143;Schauspielerworkshop;acting workshop;2021-12-30;Film corner|Unit 2|Kl. 6
144;sich merken|sich erinnern;remember;2021-12-30;Film corner|Unit 2|Kl. 6
145;nur;just;2021-12-30;Film corner|Unit 2|Kl. 6
146;glauben;believe;2021-12-30;Film corner|Unit 2|Kl. 6
147;dich selbst;yourself;2021-12-30;Film corner|Unit 2|Kl. 6
148;panisch werden;panic;2021-12-30;Film corner|Unit 2|Kl. 6
149;die|welche;who;2021-12-30;Film corner|Unit 2|Kl. 6
150;auf der Welt;in the world;2021-12-30;Film corner|Unit 2|Kl. 6
151;Weihnachtstheaterstück;pantomime;2021-12-30;Reading corner|Unit 2|Kl. 6
152;Vorspielen|Vorsprechen|Vorsingen|Vortanzen;audition;2021-12-30;Reading corner|Unit 2|Kl. 6
153;... schaut sich eine Anzeige an;... looking at an advert.;2021-12-30;Reading corner|Unit 2|Kl. 6
